"district_code","year","crime_count","crime_1_count","crime_13_count","crime_18_count","crime_35_count","crime_54_count","crime_55_count","crime_63_count","crime_79_count","crime_80_count","crime_84_count","crime_96_count","crime_97_count"
3201,"2012","0","0","0","0","0","0","0","0","0","0","0","0","8"
3201,"2013","8","0","0","1","3","2","2","1","0","0","0","0","4329"
3201,"2014","39","1","0","7","23","4","17","7","1","1","0","0","13032"
3201,"2015","147","14","1","37","28","21","49","28","12","5","0","0","21752"
3201,"2016","1175","71","8","305","390","21","431","244","83","108","0","16","23901"
3201,"2017","953","76","13","209","306","3","349","175","54","94","0","9","22031"
3201,"2018","1018","81","11","218","335","29","338","174","84","120","0","18","19626"
3201,"2019","1051","76","8","224","339","41","397","171","84","114","0","13","15647"
3201,"2020","1051","81","5","310","335","45","377","216","55","107","0","2","14240"
3201,"2021","855","67","5","198","269","36","260","168","69","114","0","0","15049"
3201,"2022","1025","80","9","240","298","92","338","188","84","125","0","0","14431"
3201,"2023","510","26","7","141","161","65","158","81","28","50","0","0","9702"
3202,"2012","0","0","0","0","0","0","0","0","0","0","0","0","2"
3202,"2013","6","0","0","1","3","4","1","2","0","1","0","0","3444"
3202,"2014","24","2","0","9","6","7","5","5","0","0","0","0","8347"
3202,"2015","221","30","1","38","58","22","88","23","12","14","0","0","12644"
3202,"2016","1171","85","10","299","379","31","447","179","57","106","2","17","12727"
3202,"2017","1091","88","7","281","384","9","408","174","41","86","3","4","10649"
3202,"2018","1058","97","10","202","320","42","398","162","61","103","0","12","11138"
3202,"2019","1180","93","16","307","403","49","431","217","45","100","0","15","7890"
3202,"2020","1115","87","8","322","360","47","394","174","45","86","0","0","8047"
3202,"2021","1036","95","20","285","319","52","267","189","64","106","0","1","7069"
3202,"2022","1135","77","14","299","338","91","384","175","73","109","0","3","9004"
3202,"2023","680","53","1","204","179","82","241","120","22","45","1","1","6642"
3203,"2012","0","0","0","0","0","0","0","0","0","0","0","0","6"
3203,"2013","7","1","0","1","1","4","0","1","0","0","0","0","5077"
3203,"2014","38","3","0","6","4","17","16","4","1","1","0","0","11358"
3203,"2015","416","55","2","53","105","81","142","55","17","47","1","0","19632"
3203,"2016","2877","296","20","566","1056","72","852","512","102","332","2","8","17823"
3203,"2017","2578","323","12","393","856","32","865","388","84","312","0","2","13894"
3203,"2018","2242","300","13","337","685","119","775","302","69","211","0","4","9901"
3203,"2019","2410","266","14","367","860","130","885","260","62","221","0","0","9578"
3203,"2020","2076","220","9","301","588","116","686","247","63","344","0","2","9229"
3203,"2021","2064","236","12","425","534","121","610","292","69","324","0","0","7807"
3203,"2022","2405","226","11","503","816","129","732","368","76","285","0","4","12308"
3203,"2023","1487","145","3","407","494","75","501","276","34","122","0","0","12097"
3204,"2012","1","0","0","0","0","0","1","0","0","0","0","0","2"
3204,"2013","3","0","0","0","0","1","2","0","0","0","0","0","3316"
3204,"2014","22","1","0","1","2","12","7","2","0","1","0","0","11448"
3204,"2015","168","20","6","30","37","27","61","19","8","9","0","0","13160"
3204,"2016","1177","149","11","266","342","32","384","199","61","98","0","6","9680"
3204,"2017","1040","106","11","273","373","19","323","205","59","75","0","8","7678"
3204,"2018","1020","102","11","189","336","49","307","115","60","103","0","9","6526"
3204,"2019","975","124","7","163","282","39","328","138","56","126","0","3","6422"
3204,"2020","1011","85","7","156","357","32","326","110","67","159","0","0","6671"
3204,"2021","1056","79","9","283","304","38","278","184","59","163","0","0","5561"
3204,"2022","1240","111","10","282","419","60","370","181","54","164","0","1","7031"
3204,"2023","687","62","1","194","270","44","206","121","24","48","0","0","4331"
3205,"2012","0","0","0","0","0","0","0","0","0","0","0","0","1"
3205,"2013","7","0","0","2","2","2","5","1","0","0","0","0","2484"
3205,"2014","4","0","0","0","2","2","2","0","0","0","0","0","7261"
3205,"2015","74","9","0","10","11","20","26","7","6","3","0","1","13087"
