"district_code","person_count","year"
3211,"114366",2021
3211,"115236",2020
3710,"114830",2000
3401,"54475",2011
3710,"112372",2013
3508,"117274",2009
3212,"55329",2013
3603,"104043",2013
3713,"112247",2001
3803,"253518",2015
3802,"209585",2006
3601,"94925",2006
3714,"119829",2009
3506,"115252",2004
3503,"121480",2021
3305,"70282",2006
3304,"72460",2011
3405,"178812",2006
3702,"378965",2011
3802,"214660",2019
3201,"96273",2013
3408,"48602",2017
3209,"164002",2014
3409,"93227",2002
3802,"211482",2009
3502,"135740",2009
3406,"68918",2021
3603,"104035",2016
3401,"55184",2017
3402,"91849",2001
3707,"109705",2001
3805,"231843",2009
3602,"163159",2015
3209,"167851",2015
3404,"86405",2019
3706,"154353",2017
3407,"70500",2004
3509,"128830",2020
3212,"55498",2011
3212,"52132",2000
3204,"89243",2002
3204,"89445",2000
3708,"107875",2008
3407,"76232",2012
3401,"52677",2001
3202,"75870",2002
3403,"118425",2004
3509,"127599",2005
3803,"275397",2007
3510,"119716",2012
3307,"70760",2017
3506,"119162",2015
3301,"178828",2002
3509,"128387",2017
3604,"79632",2017
3301,"185584",2008
3306,"50695",2016
3409,"85964",2022
3803,"260919",2012
3307,"70657",2012
3605,"112582",2008
3602,"162400",2021
3208,"94243",2011
3712,"89342",2011
3611,"137598",2005
3508,"106773",2021
3601,"94732",2018
3714,"117941",2020
3308,"102611",2013
3801,"94573",2014
3709,"109633",2006
3410,"51241",2001
3303,"93298",2008
3707,"113628",2019
3807,"320145",2019
3508,"110933",2020
3404,"86318",2017
3306,"50230",2021
3611,"139381",2008
3202,"87184",2012
3807,"329961",2011
3603,"104206",2012
3509,"129072",2019
3503,"127218",2010
3606,"161606",2006
3301,"196602",2020
3702,"380681",2018
3502,"135238",2010
3503,"125517",2000
3305,"70504",2013
3712,"90460",2014
3711,"143731",2006
3710,"114593",2001
3810,"142528",2019
3212,"55309",2016
3701,"106884",2010
3308,"102529",2002
3303,"92002",2013
3806,"177010",2013
3603,"103582",2002
3405,"181354",2000
3609,"104662",2004
3606,"167481",2009
3212,"55641",2010
3210,"80469",2000
3805,"229912",2000
3402,"91851",2015
3407,"75718",2011
3303,"92761",2003
3607,"79086",2011
3501,"103021",2015
3609,"104756",2007
3711,"143729",2004
3608,"72461",2017
3602,"164283",2019
3504,"90171",2021
3701,"103990",2004
3502,"133778",2004
3305,"70524",2012
3403,"119432",2009
3703,"182497",2001
3211,"114403",2017
3305,"71308",2018
3508,"117294",2008
3707,"109749",2004
3603,"104025",2000
3701,"105663",2007
3305,"70171",2002
3408,"45707",2004
3810,"142484",2017
3301,"190844",2015
3401,"55074",2016
3701,"104047",2003
3212,"55411",2012
3509,"128266",2012
3409,"89127",2016
3802,"212448",2012
3209,"155588",2012
3609,"105133",2001
3804,"152352",2007
3505,"162154",2001
3301,"186681",2009
3506,"117582",2021
3506,"117159",2007
3501,"102124",2002
3703,"215311",2015
3209,"146403",2010
3803,"278843",2002
3209,"171914",2016
3807,"342310",2001
9999,"1249026",2009
3507,"86378",2013
3603,"104351",2008
3604,"80045",2019
3811,"41255",2009
3705,"192333",2022
3709,"109773",2001
3703,"210729",2013
3305,"70741",2015
3712,"86725",2004
3604,"77031",2004
3308,"103070",2010
3211,"113874",2012
3410,"51379",2000
3501,"103990",2008
3806,"176600",2016
3509,"127103",2003
3503,"124335",2015
3403,"117868",2012
3402,"87958",2021
3505,"171007",2012
3808,"132014",2013
3709,"110214",2009
3508,"111708",2019
3208,"105463",2022
