"id","unemployment_percentage","year","district_code"
"1","2.7080984848484848","2022",3308
"2","2.2970476190476190","2019",3504
"3","2.1310397553516820","2020",3301
"4","3.8543260869565217","2016",3611
"5","3.2335158730158730","2020",3808
"6","3.4297142857142857","2023",3504
"7","3.9543859649122807","2021",3401
"8","1.7303263888888889","2021",3304
"9","4.6041666666666667","2022",3702
"10","3.4705818965517241","2023",3701
"11","3.3126328502415459","2018",3206
"12","2.6333974358974359","2022",3807
"13","4.7958867521367521","2016",3711
"14","4.2170323129251701","2016",3407
"15","2.4136274509803922","2019",3509
"16","4.9168981481481481","2019",3713
"17","3.0539430894308943","2023",3707
"18","1.7573547400611621","2018",3301
"19","2.7477210884353741","2018",3407
"20","8.3882696759259259","2016",3713
"21","5.3596223958333333","2016",3608
"22","6.9500238095238095","2016",3507
"23","3.2631118143459916","2016",3210
"24","3.4874206349206349","2023",3704
"25","3.3194607843137255","2016",3408
"26","2.7582971014492754","2019",3510
"27","2.6637713675213675","2021",3711
"28","2.7176666666666667","2019",3808
"29","5.4955208333333333","2021",3713
"30","2.7993776371308017","2021",3708
"31","3.0454000000000000","2023",3305
"32","3.3093975903614458","2018",3212
"33","2.4313750000000000","2023",3207
"34","3.9002500000000000","2023",3203
"35","3.8573437500000000","2023",3608
"36","3.6527291666666667","2021",3402
"37","2.5876936026936027","2020",3406
"38","2.8486960784313725","2020",3202
"39","1.7522500000000000","2023",3607
"40","1.8684722222222222","2020",3304
"41","6.0372784810126582","2016",3708
"42","2.6984795321637427","2018",3501
"43","3.5731087824351297","2021",3710
"44","4.0463372093023256","2023",3208
"45","1.8478021978021978","2022",3705
"46","6.1902256944444444","2023",3713
"47","2.9041060606060606","2018",3308
"48","3.6573384353741497","2021",3407
"49","2.1085770440251572","2022",3303
"50","3.8369019607843137","2016",3202
"51","2.4696153846153846","2023",3807
"52","2.9678728070175439","2022",3401
"53","3.2217796610169492","2023",3810
"54","2.8148263888888889","2022",3802
"55","6.8181250000000000","2023",3811
"56","3.3245714285714286","2021",3504
"57","5.8867156862745098","2016",3509
"58","2.7403735632183908","2022",3609
"59","3.5152430555555556","2022",3211
"60","2.5351709401709402","2018",3711
"61","1.5553375527426160","2022",3210
"62","5.6557440476190476","2016",3403
"63","4.0073148148148148","2016",3804
"64","3.4961507936507937","2018",3704
"65","3.3950416666666667","2020",3402
"66","2.5029012345679012","2019",3804
"67","3.8248958333333333","2016",3606
"68","2.1847083333333333","2021",3207
"69","4.3450000000000000","2023",3508
"70","2.4496464646464646","2023",3406
"71","2.3154092261904762","2022",3307
"72","2.2347299382716049","2018",3603
"73","2.6665509259259259","2018",3802
"74","3.9268750000000000","2016",3402
"75","1.9863444444444444","2019",3305
"76","3.0741005291005291","2022",3704
"77","2.4668112244897959","2019",3407
"78","2.0328000000000000","2018",3305
"79","2.8791087962962963","2020",3802
"80","5.1813290229885057","2016",3701
"81","5.3110294117647059","2019",3803
"82","3.2224358974358974","2019",3809
"83","4.3485119047619048","2019",3507
"84","3.4560869565217391","2020",3206
"85","1.7561721611721612","2019",3705
"86","2.7888958333333333","2020",3712
"87","2.7176515151515152","2020",3308
"88","4.6337573099415205","2016",3501
"89","1.8723245614035088","2023",3201
"90","4.6263141025641026","2021",3502
"91","5.4943247126436782","2016",3714
"92","3.5899920634920635","2021",3808
"93","1.6250219298245614","2018",3201
"94","2.8829761904761905","2018",3403
